Species;Nest_builder;Nest_site;Nest_structure;Clutch_size_mean;Incubating_sex;Length_breeding;Latitude_mean
Accipiter_badius;female;tree_bush;cup;3.5;female;4;NA
Accipiter_brevipes;female;tree_bush;cup;4;female;3;44.5
Accipiter_gentilis;both;tree_bush;cup;3.5;female;6;52.5
Accipiter_nisus;both;tree_bush;cup;5;female;5;49
Acridotheres_tristis;neither;tree_hole_cavity;no nest;4.5;both;4;35.5
Acrocephalus_agricola;both;grass_reeds;cup;4.5;female;6;46
Acrocephalus_arundinaceus;female;grass_reeds;cup;4.5;female;4;47
Acrocephalus_brevipennis;female;grass_reeds;cup;NA;NA;NA;NA
Acrocephalus_dumetorum;both;grass_reeds;cup;4.5;both;6;59.5
Acrocephalus_melanopogon;female;grass_reeds;cup;4;both;4;38.5
Acrocephalus_paludicola;female;grass_reeds;cup;5;female;4;51.5
Acrocephalus_palustris;female;grass_reeds;cup;4;both;5;50
Acrocephalus_schoenobaenus;female;grass_reeds;cup;5.5;female;6;54.5
Acrocephalus_scirpaceus;female;grass_reeds;cup;4;both;5;46.5
Acrocephalus_stentoreus;both;grass_reeds;cup;4.5;female;6;28.5
Actitis_hypoleucos;both;ground;platform;4;both;6;54.5
Aegithalos_caudatus;both;tree_bush;dome;10;female;5;54
Aegolius_funereus;neither;tree_hole_cavity;no nest;5;female;7;53
Aegypius_monachus;both;tree_bush;cup;1;both;8;41.5
Aix_galericulata;female;tree_hole_cavity;platform;10.5;female;6;53
Alauda_arvensis;female;ground;cup;4;female;7;52.5
Alca_torda;neither;ledge;no nest;1;both;5;61
Alcedo_atthis;both;ground_hole_cavity;platform;6.5;both;7;45
Alectoris_chukar;female;ground;platform;11.5;female;5;37
Alectoris_graeca;female;ground;platform;11;female;5;42
Alectoris_rufa;male;ground;platform;13;female;5;46.5
Alle_alle;neither;ground_hole_cavity;no nest;1;both;4;75
Alopochen_aegyptiaca;female;grass_reeds;platform;8.5;female;7;34
Amandava_amandava;both;tree_bush;dome;5.5;both;8;37
Ammomanes_deserti;both;ground;cup;3;NA;8;28
Anas_acuta;female;ground;platform;8;female;6;50
Anas_clypeata;female;ground;platform;10;female;7;52.5
Anas_crecca;female;ground;platform;9.5;female;6;55.5
Anas_penelope;female;ground;platform;8.5;female;5;61.5
Anas_platyrhynchos;female;ground;platform;11;female;11;51.5
Anas_querquedula;female;ground;platform;8.5;female;6;52
Anas_strepera;female;ground;platform;10;female;5;51.5
Anhinga_melanogaster;neither;tree_bush;no nest;4;both;7;32.5
Anser_albifrons;both;ground;platform;5.5;female;4;71.5
Anser_anser;female;ground;platform;5;female;6;51.5
Anser_brachyrhynchus;female;ground;platform;4;female;4;72.5
Anser_erythropus;female;ground;platform;5;female;4;68.5
Anser_fabalis;female;ground;platform;5;female;5;67.5
Anthreptes_metallicus;both;tree_bush;cup;NA;NA;NA;27.5
Anthreptes_platurus;female;tree_bush;cup;1.5;female;NA;21
Anthus_berthelotii;female;ground;cup;3.5;NA;6;30.5
Anthus_campestris;both;ground;cup;4.5;female;4;43.5
Anthus_cervinus;female;ground;cup;5.5;female;4;68
Anthus_petrosus;female;ground;cup;5;female;6;54.5
Anthus_pratensis;female;ground;cup;4;female;6;57
Anthus_spinoletta;female;ground;cup;5;female;6;54.5
Anthus_trivialis;female;ground;cup;4;female;5;53
Apus_affinis;both;wall;platform;2.5;both;5;33.5
Apus_apus;both;wall;platform;2.5;both;4;51
Apus_caffer;both;wall;platform;2;both;4;34.5
Aquila_chrysaetos;both;ledge;cup;2;female;6;46.5
Aquila_clanga;both;tree_bush;cup;2;female;5;56
Aquila_fasciatus;both;ledge;cup;2;both;6;36.5
Aquila_heliaca;both;tree_bush;cup;2.5;both;7;46
Aquila_pomarina;both;tree_bush;cup;2;female;5;48
Aquila_rapax;both;ground;platform;2;female;6;40.5
Aquila_verreauxii;both;ledge;cup;2;both;9;NA
Ardea_cinerea;neither;tree_bush;no nest;4.5;both;6;47.5
Ardea_goliath;both;ground;platform;2.5;both;NA;32
Ardea_purpurea;neither;grass_reeds;no nest;4.5;both;5;41.5
Ardeola_ralloides;neither;tree_bush;no nest;5;female;6;40.5
Ardeotis_arabs;neither;ground;no nest;2;NA;7;34.5
Arenaria_interpres;female;ground;platform;4;both;4;66.5
Asio_flammeus;female;ground;platform;6;female;7;55
Asio_otus;neither;tree_bush;no nest;4;female;7;47.5
Athene_noctua;neither;tree_hole_cavity;no nest;3.5;female;6;37.5
Aythya_ferina;female;ground;platform;9;female;5;52
Aythya_fuligula;female;ground;platform;9.5;female;4;57
Aythya_marila;female;ground;platform;9.5;female;4;64
Aythya_nyroca;female;ground;platform;9;female;5;45.5
Bombycilla_garrulus;both;tree_bush;cup;5.5;female;3;64.5
Bonasa_bonasia;female;ground;platform;9;female;4;54
Botaurus_stellaris;female;grass_reeds;platform;5.5;both;7;49
Branta_bernicla;both;ground;platform;4;female;4;79.5
Branta_canadensis;female;ground;platform;5.5;female;6;57.5
Branta_leucopsis;both;ledge;platform;4.5;female;4;74.5
Bubo_bubo;neither;ledge;no nest;3;female;7;45
Bubo_scandiaca;neither;ground;no nest;6;female;6;70.5
Bubulcus_ibis;neither;tree_bush;no nest;4.5;both;5;35
Bucanetes_githagineus;female;ground;cup;5;female;5;29
Bucephala_clangula;neither;tree_hole_cavity;no nest;9.5;female;5;59
Bucephala_islandica;neither;tree_hole_cavity;no nest;9.5;female;5;65
Bulweria_bulwerii;neither;ground_hole_cavity;platform;1;both;NA;26.5
Burhinus_oedicnemus;neither;ground;no nest;2;both;7;38.5
Buteo_buteo;both;tree_bush;cup;3;both;6;51
Buteo_lagopus;both;ledge;cup;3.5;female;5;65.5
Butorides_striata;neither;tree_bush;no nest;3;both;6;28.5
Calandrella_brachydactyla;female;ground;cup;4;female;5;39.5
Calandrella_rufescens;female;ground;cup;2.5;female;5;40
Calcarius_lapponicus;female;ground;cup;5.5;both;4;66
Calidris_alba;neither;ground;no nest;4;both;4;78
Calidris_alpina;neither;ground;no nest;4;both;5;62
Calidris_maritima;neither;ground;no nest;4;both;4;70
Calonectris_diomedea;both;ground_hole_cavity;platform;1;both;6;29
Caprimulgus_aegyptius;neither;ground;no nest;2;NA;6;31
Caprimulgus_europaeus;neither;ground;no nest;2;female;5;47
Caprimulgus_nubicus;neither;ground;no nest;NA;NA;NA;30.5
Caprimulgus_ruficollis;neither;ground;no nest;NA;NA;NA;36
Carduelis_cannabina;female;tree_bush;cup;5;female;6;47
Carduelis_carduelis;female;tree_bush;cup;5;female;6;43.5
Carduelis_chloris;female;tree_bush;cup;5;female;4;49
Carduelis_citrinella;female;tree_bush;cup;4.5;female;4;42.5
Carduelis_flammea;female;tree_bush;cup;5;female;5;58
Carduelis_flavirostris;female;ground;cup;5;female;5;54.5
Carduelis_hornemanni;female;tree_bush;cup;4.5;female;3;69.5
Carduelis_spinus;female;tree_bush;cup;4;female;5;54
Carpodacus_erythrinus;female;ground;cup;5;female;3;52.5
Carpodacus_rubicilla;female;ground;cup;4.5;female;3;42
Casmerodius_albus;neither;grass_reeds;no nest;4;both;5;43.5
Catharacta_skua;both;ground;platform;2;both;6;61.5
Cepphus_grylle;neither;ground_hole_cavity;no nest;1.5;both;6;67.5
Certhia_brachydactyla;both;tree_hole_cavity;cup;6.5;female;6;43.5
Certhia_familiaris;both;tree_hole_cavity;cup;5.5;female;6;54.5
Ceryle_rudis;both;ground_hole_cavity;platform;4.5;both;6;29
Cettia_cetti;female;ground;cup;3;female;6;41
Charadrius_alexandrinus;neither;ground;no nest;3;both;6;36
Charadrius_dubius;neither;ground;no nest;4;both;7;48
Charadrius_hiaticula;neither;ground;no nest;3.5;both;7;65
Charadrius_leschenaultii;neither;ground;no nest;3;both;6;35.5
Charadrius_pecuarius;neither;ground;no nest;2;both;NA;30.5
Chlamydotis_undulata;neither;ground;no nest;2.5;female;8;28.5
Chlidonias_hybrida;both;water;platform;2.5;both;4;42.5
Chlidonias_leucopterus;both;water;platform;2.5;both;4;43.5
Chlidonias_niger;both;water;platform;3;both;4;49.5
Chrysolophus_amherstiae;female;ground;platform;8.5;female;4;53
Chrysolophus_pictus;female;ground;platform;8.5;female;4;52.5
Ciconia_ciconia;neither;tree_bush;no nest;3.5;both;5;44.5
